,year,country,Surface area (sq. km),Livestock production index (2004-2006 = 100),index,country_code,code
0,2016,Afghanistan,652860.0,98.7,2475,A,AFG
1,2016,Albania,28750.0,113.07,2488,A,ALB
2,2016,Algeria,2381740.0,147.06,2491,A,DZA
3,2016,Angola,1246700.0,139.14,2494,A,AGO
4,2016,Antigua and Barbuda,440.0,32.64,2509,A,ATG
5,2016,Argentina,2780400.0,107.0,2537,A,ARG
6,2016,Armenia,29740.0,143.85,2550,A,ARM
7,2016,Australia,7741220.0,102.02,2563,A,AUS
8,2016,Austria,83879.00391,108.27,2576,A,AUT
9,2016,Azerbaijan,86600.0,182.41,2589,A,AZE
10,2016,"Bahamas, The",13880.0,110.85,2594,A,BHM
11,2016,Bahrain,778.0000305,359.72,2607,A,BHR
12,2016,Bangladesh,147630.0,135.88,2620,A,BGD
13,2016,Barbados,430.0,110.82,2635,A,BRB
14,2016,Belarus,207600.0,147.85,2648,A,BLR
15,2016,Belgium,30530.0,81.32,2661,A,BEL
16,2016,Belize,22970.0,118.05,2675,A,BLZ
17,2016,Benin,114760.0,136.32,2678,A,BEN
18,2016,Bermuda,4290.0,111.07,2682,A,BMU
19,2016,Bhutan,38393.999019999996,92.82,2696,A,BTN
20,2016,Bolivia,1098580.0,135.44,2709,A,BOL
21,2016,Bosnia and Herzegovina,51210.0,119.68,2722,A,BIH
22,2016,Botswana,581730.0,119.04,2726,A,BWA
23,2016,Brazil,8515770.0,127.0,2739,A,BRA
24,2016,Bulgaria,111000.0,84.39,2767,A,BGR
25,2016,Burkina Faso,274220.0,84.19,2770,A,BFA
26,2016,Burundi,27830.0,140.58,2773,A,BDI
27,2016,Cambodia,181040.0,89.23,2786,A,KHM
28,2016,Cameroon,475440.0,125.4,2789,A,CMR
29,2016,Canada,9984670.0,83.25,2802,A,CAN
30,2016,Chile,756700.0,110.55,2848,A,CHL
31,2016,China,9562910.0,130.43,2861,A,CHN
32,2016,Colombia,1141748.9840000002,115.61,2874,A,COL
33,2016,Costa Rica,51100.0,127.21,2893,A,CRI
34,2016,Cote d'Ivoire,322460.0,133.23,2897,A,CIV
35,2016,Croatia,56590.0,94.02,2910,A,HRV
36,2016,Cuba,109880.0,144.9,2925,A,CUB
37,2016,Cyprus,9250.0,88.86,2938,A,CYP
38,2016,Czech Republic,78870.0,87.62,2951,A,CZE
39,2016,Denmark,42920.0,100.31,2964,A,DNK
40,2016,Dominica,750.0,103.97,2979,A,DMA
41,2016,Dominican Republic,48670.0,110.31,2992,A,DOM
42,2016,Ecuador,256370.0,124.15,3044,A,ECU
43,2016,El Salvador,21040.0,111.57,3061,A,SLV
44,2016,Eritrea,117600.0,122.96,3066,A,ERI
45,2016,Estonia,45340.0,125.65,3079,A,EST
46,2016,Ethiopia,1104300.0,120.12,3082,A,ETH
47,2016,Fiji,18270.0,109.67,3172,A,FJI
48,2016,Finland,338450.0,99.85,3185,A,FIN
49,2016,France,549086.9922,103.08,3198,A,FRA
50,2016,French Polynesia,4000.0,120.18,3213,A,PYF
51,2016,Gabon,267670.0,114.25,3217,A,GAB
52,2016,"Gambia, The",11300.0,106.73,3221,A,GMB
53,2016,Georgia,69700.0,69.22,3234,A,GEO
54,2016,Germany,357580.0,112.54,3247,A,DEU
55,2016,Ghana,238540.0,134.68,3250,A,GHA
56,2016,Greece,131960.0,91.91,3263,A,GRC
57,2016,Guatemala,108890.0,126.24,3276,A,GTM
58,2016,Guinea,245860.0,136.04,3279,A,GIN
59,2016,Guyana,214970.0,144.43,3294,A,GUY
60,2016,Honduras,112490.0,109.52,3336,A,HND
61,2016,Hungary,93030.0,81.9,3362,A,HUN
62,2016,Iceland,103000.0,124.03,3448,A,ISL
63,2016,India,3287259.063,152.71,3461,A,IND
64,2016,Indonesia,1913580.0,144.98,3474,A,IDN
65,2016,Iraq,435051.9922,124.93,3498,A,IRQ
66,2016,Ireland,70280.0,111.24,3511,A,IRL
67,2016,Israel,22070.0,116.6,3587,A,ISR
68,2016,Italy,301340.0,93.25,3663,A,ITA
69,2016,Jamaica,10990.0,102.79,3676,A,JAM
70,2016,Japan,377970.0,101.37,3689,A,JPN
71,2016,Jordan,89320.0,152.42,3702,A,JOR
72,2016,Kazakhstan,2724901.875,119.03,3715,A,KAZ
73,2016,Kenya,580370.0,122.09,3718,A,KEN
74,2016,Kuwait,17820.0,196.85,3744,A,KWT
75,2016,Latvia,64490.0,109.14,3830,A,LVA
76,2016,Lebanon,10450.0,74.92,3849,A,LBN
77,2016,Libya,1759540.0,118.95,3854,A,LBY
78,2016,Lithuania,65286.00098,88.89,3867,A,LTU
79,2016,Luxembourg,2590.0,111.9,3924,A,LUX
80,2016,Madagascar,587295.0,124.1,3927,A,MDG
81,2016,Malawi,118480.0,243.73,3930,A,MWI
82,2016,Malaysia,330345.0,144.66,3943,A,MYS
