Date,Pure number,Signal
1999-01-08,0.085,
1999-01-10,0.0631,
1999-01-15,0.1748,
1999-01-22,0.1655,
1999-01-29,0.1305,
1999-02-04,0.073,
1999-02-05,0.1546,
1999-02-07,0.0385,
1999-02-12,0.1888,
1999-02-19,0.1885,
1999-02-26,0.1715,
1999-03-05,0.1408,
1999-03-09,0.0557,
1999-03-12,0.129,
1999-03-19,0.0606,
1999-03-26,0.1044,
1999-04-02,0.0721,
1999-04-06,0.0443,
1999-04-09,0.0784,
1999-04-16,0.0541,
1999-04-23,0.093,
1999-04-30,0.0642,
1999-05-02,0.1563,
1999-05-03,0.1428,
1999-05-07,0.0533,
1999-05-11,0.0516,
1999-05-14,0.0464,
1999-05-21,0.0511,
1999-05-28,0.0519,
1999-06-04,0.0439,
1999-06-08,0.0868,
1999-06-11,0.051,
1999-06-18,0.0453,
1999-06-25,0.0403,
1999-07-02,0.0384,
1999-07-05,0.0537,
1999-07-09,0.0304,
1999-07-16,0.0354,
1999-07-23,0.0881,
1999-07-30,0.0916,
1999-08-01,0.0854,
1999-08-06,0.0866,
1999-08-10,0.0696,
1999-08-13,0.0809,
1999-08-20,0.0828,
1999-08-27,0.0637,
1999-09-03,0.0555,
1999-09-04,0.0793,
1999-09-07,0.0306,
1999-09-10,0.0494,
1999-09-17,0.0528,
1999-09-24,0.0637,
1999-10-01,0.0632,
1999-10-08,0.0696,
1999-10-09,0.0494,
1999-10-12,0.0684,
1999-10-15,0.0984,
1999-10-22,0.1033,
1999-10-29,0.0988,
1999-11-05,0.0518,
1999-11-06,0.0515,0.0
1999-11-12,0.0461,1.0
1999-11-19,0.0517,1.0
1999-11-26,0.0578,1.0
1999-12-02,0.1911,1.0
1999-12-03,0.0494,-1.0
1999-12-10,0.0685,1.0
1999-12-11,0.046,0.0
1999-12-17,0.0604,1.0
1999-12-24,0.0572,0.0
1999-12-31,0.0544,0.0
2000-01-07,0.0934,1.0
2000-01-09,0.1145,0.0
2000-01-12,0.1621,0.0
2000-01-14,0.0683,-1.0
2000-01-21,0.0477,0.0
2000-01-28,0.0795,1.0
2000-02-04,0.0736,0.0
2000-02-06,0.2059,0.0
2000-02-11,0.0584,-1.0
2000-02-18,0.0454,1.0
2000-02-25,0.0795,1.0
2000-03-03,0.0666,0.0
2000-03-10,0.069,0.0
2000-03-11,0.1133,0.0
2000-03-17,0.0639,0.0
2000-03-24,0.058,0.0
2000-03-31,0.0975,1.0
2000-04-02,0.0734,0.0
2000-04-07,0.1001,0.0
2000-04-08,0.1636,0.0
